Tiempo,Amplitud
3.6555824279785156,0.0
3.7168712615966797,0.0
3.7739815711975098,5.06
3.835531234741211,35.58
3.8959786891937256,62.75
3.954378128051758,82.33
4.015805006027222,100.56
4.07716703414917,111.85
4.134061574935913,122.0
4.196119785308838,129.24
4.256273508071899,131.58
4.314739942550659,135.21
4.405201435089111,139.68
4.463170528411865,140.36
4.523309946060181,140.58
4.585167646408081,142.08
4.64672589302063,143.66
4.704739809036255,144.17
4.7658531665802,144.34
4.827087163925171,144.39
4.884432077407837,144.41
4.942732095718384,143.32
5.002626657485962,142.97
5.062427282333374,145.39
5.12617826461792,144.73
5.183264970779419,143.43
5.273600339889526,143.44
5.334819078445435,145.54
5.391790151596069,144.78
5.481809377670288,143.69
5.542521238327026,145.62
5.605032444000244,146.24
5.662231206893921,145.01
5.721945524215698,146.05
5.785721302032471,146.05
5.903544664382935,143.84
5.962046146392822,145.67
6.023471832275391,146.26
6.084495306015015,145.01
6.141287088394165,146.05
6.203621864318848,144.94
6.264452219009399,146.03
6.353386163711548,143.1
6.411706209182739,145.43
6.473707437515259,143.65
6.562763452529907,143.48
6.621556997299194,145.55
6.6829023361206055,144.78
6.744075536727905,144.54
6.802156209945679,145.89
6.862237453460693,144.89
6.921938419342041,143.48
6.981757164001465,145.55
7.0429465770721436,144.78
7.100658416748047,143.44
7.161779880523682,145.54
7.223281383514404,144.78
7.280358791351318,145.97
7.342159986495972,144.92
7.402348041534424,146.02
7.460740327835083,144.93
7.522015571594238,146.02
7.611998081207275,145.63
7.702923536300659,144.94
7.760225057601929,143.49
7.821430683135986,145.56
7.882923126220703,144.79
7.93962836265564,143.44
8.001540422439575,145.54
8.062320470809937,144.78
8.12061071395874,143.44
8.18123722076416,145.54
8.238694667816162,144.78
8.300065279006958,145.97
8.361786127090454,144.92
8.419527769088745,146.02
8.480425834655762,144.93
8.541731834411621,143.49
8.5992112159729,145.56
8.661621570587158,144.79
8.750611543655396,143.69
8.808521747589111,145.62
8.870065927505493,144.81
8.931503295898438,145.98
9.021000385284424,145.62
9.111358165740967,144.93
9.167130470275879,143.49
9.25956678390503,143.45
9.320600271224976,145.54
9.41077733039856,144.92
9.466588735580444,143.49
9.529496192932129,145.56
9.590481519699097,145.56
9.680819511413574,144.78
9.7381112575531,143.44
9.827815771102905,144.54
9.889604806900024,143.36
9.947241306304932,145.52
10.008735656738281,144.77
